Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
National Grid,,,0.13982,False,,,Nov '19 through Apr '20 |May '20 through Oct '20 ,,False,,0.0,,,True,83.892,,01747,12/02/19 00:26
Discount Power,Fixed,,0.12,False,,$50.00 enrollment fee,12 months,$50.00,False,No automatic renewal,100.0,Wind | 100%,"Receive $1200 annually in Discount Power Rewards. Save on shopping, dining, travel, movies, and so much more!",False,76.1666,Rewards Programs,01747,12/02/19 00:26
IGS Energy,Fixed,,0.13,False,,,12 months,$99.00,True,Automatic renewal: Variable-price product,0.0,,,False,78.0,,01747,12/02/19 00:26
Starion Energy,Fixed,,0.1099,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,65.94,"Gift Card,Rewards Programs",01747,12/02/19 00:26
NRG Home,Fixed,,0.135,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,81.0,,01747,12/02/19 00:26
Just Energy Massachusetts,Fixed,,0.12390000000000001,False,,,36 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,"You’ll receive 16,000 Just Energy Perks points equivalent to $160 and 2 FREE LED bulbs. Visit www.justenergyperks.com",False,74.34,Rewards Programs,01747,12/02/19 00:26
NRG Home,Fixed,,0.149,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,89.4,,01747,12/02/19 00:26
Sunwave Gas & Power,Fixed,,0.14029999999999998,False,,,6 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,84.18,,01747,12/02/19 00:26
Town Square Energy,Fixed,,0.10869999999999999,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,,False,65.22,,01747,12/02/19 00:26
Eligo Energy MA,Fixed,,0.1231,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,73.86,,01747,12/02/19 00:26
Think Energy,Fixed,,0.124,False,,,24 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,74.4,,01747,12/02/19 00:26
Discount Power,Fixed,,0.135,False,,,36 months,$200.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,81.0,Rewards Programs,01747,12/02/19 00:26
Just Energy Massachusetts,Fixed,,0.1249,False,,,24 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,"You’ll receive 12,000 Just Energy Perks points equivalent to $120 and 2 FREE LED bulbs. Visit www.justenergyperks.com",False,74.94,Rewards Programs,01747,12/02/19 00:26
Think Energy,Fixed,,0.134,False,,,6 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,80.4,,01747,12/02/19 00:26
Massachusetts Gas & Electric,Fixed,,0.1359,False,,,24 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,81.54,,01747,12/02/19 00:26
Town Square Energy,Fixed,,0.11470000000000001,False,,,24 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,68.82,,01747,12/02/19 00:26
Sunwave Gas & Power,Fixed,,0.1317,False,,,9 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,79.02,,01747,12/02/19 00:26
IGS Energy,Fixed,,0.129,False,,,36 months,$99.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,77.4,,01747,12/02/19 00:26
SmartEnergy,Fixed,,0.158,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,94.8,,01747,12/02/19 00:26
Constellation New Energy,Fixed,,0.11289999999999999,False,,,12 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,67.74,,01747,12/02/19 00:26
Constellation New Energy,Fixed,,0.12990000000000002,False,,,24 months,$150.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,77.94,,01747,12/02/19 00:26
Ambit Energy,Fixed,,0.165,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,99.0,,01747,12/02/19 00:26
Renaissance Power & Gas,Fixed,,0.127,False,,,12 months,$100.00,True,Automatic renewal: Fixed-price product,0.0,,100 % Carbon Neutral through purchase of Carbon Offsets|We support local environmental non profit organizations and regional Carbon Offset projects.,False,76.2,"Carbon Offset,Charitable Contributions",01747,12/02/19 00:26
Constellation New Energy,Fixed,,0.12990000000000002,False,,,12 months,$150.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,77.94,,01747,12/02/19 00:26
Verde Energy USA,Fixed,,0.1349,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%","Mail-in rebate totaling $100. 
First month receive first $50, after your sixth month receive second $50!",False,80.94,Cash Back,01747,12/02/19 00:26
Indra Energy MA,Fixed,,0.16399999999999998,True,13.40 ¢/kWh for initial 1 months,,18 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,97.4,,01747,12/02/19 00:26
Indra Energy MA,Fixed,,0.152,True,10.40 ¢/kWh for initial 1 months,,14 months,,True,Automatic renewal: Variable-price product,0.0,,,False,89.1428,,01747,12/02/19 00:26
Renaissance Power & Gas,Fixed,,0.124,False,,,12 months,$100.00,False,No automatic renewal,0.0,,,False,74.4,,01747,12/02/19 00:26
Eligo Energy MA,Fixed,,0.1265,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,75.9,,01747,12/02/19 00:26
Verde Energy USA,Fixed,,0.1549,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",,False,92.94,,01747,12/02/19 00:26
Starion Energy,Fixed,,0.1229,False,,,8 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,73.74,"Gift Card,Rewards Programs",01747,12/02/19 00:26
Constellation New Energy,Fixed,,0.12789999999999999,False,,,6 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,76.74,,01747,12/02/19 00:26
SFE Energy Massachusetts,Fixed,,0.1567,True,14.30 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,,False,93.7916,,01747,12/02/19 00:26
Think Energy,Fixed,,0.127,False,,,12 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,76.2,,01747,12/02/19 00:26
Verde Energy USA,Fixed,,0.1319,False,,,24 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",$100 Rebate - Receive the first $50 after one month of service and the second $50 after 6 months of service.,False,79.14,Cash Back,01747,12/02/19 00:26
Eligo Energy MA,Fixed,,0.1285,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,77.1,,01747,12/02/19 00:26
Ambit Energy,Fixed,,0.12,False,,,6 months,,True,Automatic renewal: Variable-price product,0.0,,,False,72.0,,01747,12/02/19 00:26
Starion Energy,Fixed,,0.1199,False,,,8 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,71.94,"Gift Card,Rewards Programs",01747,12/02/19 00:26
SFE Energy Massachusetts,Fixed,,0.1369,True,12.32 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,"If you don’t save money over the course of your
term, you will be eligible for up to a $75 rebate for
your 3-year program",False,81.9116,Cash Back,01747,12/02/19 00:26
CleanChoice Energy,Fixed,,0.128,False,,,12 months,,True,Automatic renewal: Fixed-price product,100.0,"Solar | 1%, Wind | 99%","Refer today and we'll send both you and your friend $25 when their enrollment is complete https://cleanchoiceenergy.com/refer-a-friend/|Choose 100% clean, pollution-free wind & solar with CleanChoice Energy today and get a $50 Gift Card.* Sign up online or call. *Terms Apply",False,76.8,"Rewards Programs,Sponsored Promotions",01747,12/02/19 00:26
Eligo Energy MA,Fixed,,0.1193,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,71.58,,01747,12/02/19 00:26
Think Energy,Fixed,,0.126,False,,,18 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,75.6,,01747,12/02/19 00:26
Town Square Energy,Fixed,,0.11,False,,,36 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,66.0,,01747,12/02/19 00:26
Sunwave Gas & Power,Fixed,,0.12895,False,,,12 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,77.37,,01747,12/02/19 00:26
Ambit Energy,Fixed,,0.145,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,,False,87.0,,01747,12/02/19 00:26
Starion Energy,Fixed,,0.11289999999999999,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,67.74,"Gift Card,Rewards Programs",01747,12/02/19 00:26
Utility Expense Reduction,Fixed,,0.145,False,,,12 months,$100.00,True,Automatic renewal: Variable-price product,0.0,,Power Perks,False,87.0,Rewards Programs,01747,12/02/19 00:26
Discount Power,Fixed,,0.135,False,,,24 months,$100.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,81.0,Rewards Programs,01747,12/02/19 00:26
Green Mountain Energy,Fixed,,0.13699999999999998,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,82.2,,01747,12/02/19 00:26
